ticker,Date,num_mentions
APPH,04-01,1
APPH,05-01,2
APPH,06-01,1
APPH,07-01,4
APPN,03-01,3
APPN,04-01,1
APPN,05-01,1
APPN,06-01,1
APPS,01-01,26
APPS,02-01,7
APPS,03-01,6
APPS,04-01,9
APPS,05-01,1
APPS,06-01,8
APPS,07-01,1
APPS,08-01,10
APPS,09-01,9
APPS,12-01,4
APR,02-01,7
APR,03-01,26
APR,04-01,6
APR,05-01,5
APR,06-01,4
APR,07-01,4
APR,08-01,5
APR,09-01,1
APR,10-01,1
APRE,01-01,2
APRN,01-01,6
APRN,06-01,1
APT,01-01,18
APT,02-01,2
APT,03-01,3
APT,06-01,1
APT,12-01,2
APTV,02-01,3
APXT,02-01,1
APXT,04-01,2
APYP,06-01,1
AR,01-01,42
AR,02-01,27
AR,03-01,23
AR,04-01,61
AR,05-01,2
AR,06-01,16
AR,07-01,5
AR,08-01,8
AR,09-01,11
AR,10-01,3
AR,12-01,6
ARB,01-01,6
ARB,02-01,3
ARB,03-01,1
ARBK,09-01,3
ARBKF,06-01,1
ARC,02-01,4
ARC,06-01,1
ARCB,08-01,1
ARCB,09-01,3
ARCC,08-01,1
ARCE,04-01,1
ARCM,03-01,1
ARCT,01-01,18
ARCT,04-01,1
ARCT,12-01,10
ARD,03-01,2
ARDS,01-01,2
ARDS,05-01,1
ARDS,07-01,1
ARDX,07-01,1
ARDX,08-01,2
ARE,01-01,582
ARE,12-01,38
AREC,02-01,1
AREC,06-01,2
AREC,08-01,1
ARES,01-01,2
ARGO,02-01,1
ARI,04-01,1
ARI,06-01,1
ARKF,01-01,30
ARKF,02-01,42
ARKF,03-01,18
ARKF,04-01,7
ARKF,05-01,4
ARKF,06-01,5
ARKF,07-01,2
ARKF,08-01,1
ARKF,10-01,1
ARKF,12-01,4
ARKG,01-01,360
ARKG,02-01,60
ARKG,03-01,31
ARKG,04-01,9
ARKG,05-01,7
ARKG,06-01,13
ARKG,07-01,4
ARKG,08-01,3
ARKG,10-01,1
ARKG,12-01,186
ARKK,01-01,204
ARKK,02-01,140
ARKK,03-01,83
ARKK,04-01,68
ARKK,05-01,116
ARKK,06-01,25
ARKK,07-01,29
ARKK,08-01,58
ARKK,09-01,16
ARKK,10-01,7
ARKK,12-01,70
ARKQ,01-01,40
ARKQ,02-01,18
ARKQ,03-01,6
ARKQ,04-01,6
ARKQ,05-01,5
ARKQ,06-01,3
ARKQ,08-01,1
ARKW,01-01,72
ARKW,02-01,27
ARKW,03-01,13
ARKW,04-01,5
ARKW,07-01,3
ARKW,08-01,1
ARKW,09-01,2
ARKW,12-01,14
ARKX,03-01,27
ARKX,04-01,32
ARKX,05-01,18
ARKX,06-01,4
ARKX,07-01,2
ARKX,08-01,3
ARKX,09-01,1
ARLO,06-01,1
ARLP,02-01,2
ARMK,02-01,1
ARNA,02-01,1
ARNC,04-01,6
ARQQ,09-01,1
ARR,01-01,4
ARR,02-01,2
ARR,03-01,1
ARR,04-01,3
ARR,05-01,1
ARR,08-01,2
ARR,09-01,2
ARREF,06-01,1
ARRY,02-01,1
ARRY,05-01,3
ARRY,06-01,1
ARRY,07-01,3
ARRY,08-01,2
ARRY,12-01,8
ARVL,03-01,2
ARVL,04-01,14
ARVL,06-01,97
ARVL,07-01,10
ARVL,08-01,10
ARVL,09-01,5
ARVL,10-01,4
ARVLW,06-01,3
ARVN,08-01,2
ARWR,07-01,1
ASA,01-01,2
ASA,05-01,2
ASA,12-01,4
ASAN,01-01,20
ASAN,02-01,2
ASAN,05-01,2
ASAN,06-01,3
ASAN,08-01,2
ASAN,09-01,5
ASAN,10-01,4
ASC,08-01,1
ASH,02-01,1
ASH,12-01,2
ASHR,06-01,2
ASHR,07-01,2
ASHR,10-01,1
ASM,04-01,1
ASML,01-01,32
ASML,02-01,30
ASML,03-01,2
ASML,04-01,5
ASML,05-01,11
ASML,06-01,1
ASML,07-01,3
ASML,08-01,1
ASML,09-01,5
ASML,10-01,2
ASO,02-01,6
ASO,03-01,261
ASO,04-01,882
ASO,05-01,157
ASO,06-01,578
ASO,07-01,46
ASO,08-01,14
ASO,09-01,33
ASO,12-01,2
ASPS,01-01,2
ASPS,03-01,2
ASPS,07-01,1
ASPS,08-01,1
ASPS,10-01,1
ASRT,02-01,1
ASRT,03-01,6
ASTI,01-01,2
ASTR,07-01,20
ASTR,08-01,33
ASTR,09-01,11
ASTS,04-01,13
ASTS,05-01,45
ASTS,06-01,27
ASTS,07-01,15
ASTS,08-01,107
ASTS,09-01,179
ASTS,10-01,14
ASTSW,06-01,1
ASX,01-01,18
ASX,02-01,22
ASX,03-01,5
ASX,05-01,3
ASX,08-01,2
ASX,09-01,1
ASX,10-01,1
ASXC,03-01,2
ASXC,06-01,30
ASYS,02-01,1
ATA,02-01,1
ATA,04-01,1
ATA,06-01,4
ATAI,08-01,3
ATAI,09-01,4
ATER,05-01,2
ATER,06-01,1
ATER,07-01,1
ATER,08-01,1
ATER,09-01,9
ATER,10-01,1
ATHM,06-01,2
ATI,02-01,1
ATI,04-01,1
ATI,06-01,2
ATI,07-01,1
ATI,12-01,2
ATIP,08-01,1
ATKR,02-01,1
ATKR,03-01,1
ATKR,08-01,1
ATNF,01-01,2
ATNF,03-01,1
ATNF,04-01,2
ATNF,08-01,2
ATNF,09-01,2
ATNI,06-01,36
ATNX,02-01,5
ATNX,03-01,6
ATO,01-01,2
ATO,02-01,2
ATO,06-01,1
ATOM,01-01,4
ATOM,03-01,1
ATOS,01-01,2
ATOS,02-01,2
ATOS,03-01,4
ATOS,06-01,21
ATOS,07-01,1
ATOS,09-01,1
ATR,02-01,2
ATR,03-01,6
ATR,06-01,2
ATR,08-01,1
ATSG,03-01,2
ATSG,05-01,4
ATSG,06-01,6
ATUS,01-01,2
ATUS,02-01,2
ATUS,03-01,1
ATUS,04-01,5
ATUS,09-01,1
ATV,01-01,2
ATVI,01-01,8
ATVI,02-01,32
ATVI,03-01,2
ATVI,04-01,1
ATVI,05-01,4
ATVI,06-01,8
ATVI,07-01,14
ATVI,08-01,34
ATVI,09-01,16
ATVI,10-01,6
AU,01-01,4
AU,02-01,6
AU,03-01,1
AU,05-01,3
AU,06-01,2
AU,07-01,2
AU,08-01,1
AUD,05-01,4
AUD,06-01,22
AUD,07-01,1
AUD,08-01,3
AUD,10-01,3
AUID,09-01,1
AUMN,01-01,2
AUPH,01-01,80
AUPH,02-01,7
AUPH,04-01,2
AUPH,05-01,5
AUPH,09-01,2
AUS,04-01,1
AUS,05-01,1
